ticker,date,price,volume,sector
AAPL,2024-01-01,182.50,75000000,Technology
GOOGL,2024-01-01,141.20,25000000,Technology
TSLA,2024-01-01,245.80,120000000,Automotive
MSFT,2024-01-01,378.90,22000000,Technology
JPM,2024-01-01,172.30,15000000,Finance
BAC,2024-01-01,33.50,45000000,Finance
AMZN,2024-01-01,153.40,35000000,Technology
GS,2024-01-01,391.20,8000000,Finance
TSLA,2024-01-02,248.30,115000000,Automotive
AAPL,2024-01-02,184.20,80000000,Technology
GOOGL,2024-01-02,143.50,28000000,Technology
MSFT,2024-01-02,381.20,24000000,Technology
JPM,2024-01-02,174.10,16000000,Finance
BAC,2024-01-02,34.20,48000000,Finance
AMZN,2024-01-02,155.80,38000000,Technology
GS,2024-01-02,395.40,9000000,Finance
